40	0.02	2.385372088	0.0203
60	0.02	2.736786437	0.0203
80	0.03	3.163858404	0.02045
100	0.05	3.640054945	0.02075
120	0.06	4.148493703	0.0209
150	0.12	6.745368782	0.0218
130	0.08	6.360817558	0.0212
140	0.09	6.549045732	0.02135
160	0.14	6.949100661	0.0221
170	0.17	7.159608928	0.02255
180	0.2	7.376313442	0.023
190	0.25	7.598684097	0.02375
200	0.3	7.826237921	0.0245
210	0.34	8.058535847	0.0251
220	0.44	8.295179323	0.0266
230	0.52	8.535806933	0.0278
240	0.64	8.780091116	0.0296
250	0.78	9.027735043	0.0317
270	1.14	9.532051196	0.0371
300	1.91	10.30776406	0.04865
320	2.43	13.87119317	0.05645
340	3.48	14.29300528	0.0722
